(392, 482, 98, 45)
(394, 484, 95, 44)
(391, 484, 96, 44)
(391, 484, 95, 46)
(386, 485, 99, 44)
(383, 487, 98, 43)
(384, 486, 95, 46)
(380, 486, 98, 45)
(377, 488, 99, 46)
(375, 490, 98, 42)
(374, 489, 97, 47)
(370, 490, 98, 42)
(371, 490, 95, 45)
(368, 490, 97, 46)
(368, 490, 98, 45)
(370, 490, 94, 46)
(371, 491, 94, 43)
(372, 491, 93, 42)
(374, 490, 91, 44)
(378, 488, 89, 45)
(379, 488, 90, 44)
(380, 489, 91, 41)
(384, 491, 88, 38)
(382, 488, 91, 42)
(387, 487, 87, 44)
(387, 487, 87, 43)
(391, 486, 84, 44)
(392, 487, 88, 42)
(395, 484, 86, 48)
(398, 484, 83, 46)
(398, 484, 84, 44)
(400, 484, 83, 46)
(398, 480, 86, 49)
(401, 481, 83, 48)
(404, 479, 83, 50)
(407, 480, 79, 48)
(405, 479, 81, 48)
(408, 478, 79, 50)
(411, 479, 76, 48)
(411, 474, 78, 52)
(412, 476, 76, 49)
(413, 475, 73, 49)
(411, 472, 77, 50)
(416, 470, 71, 52)
(416, 469, 72, 51)
(417, 471, 72, 51)
(418, 470, 71, 50)
(419, 468, 68, 50)
(419, 467, 69, 51)
(420, 466, 68, 52)
(421, 465, 69, 52)
(422, 464, 66, 52)
(422, 465, 68, 51)
(424, 462, 64, 53)
(426, 461, 63, 52)
(427, 462, 63, 51)
(427, 462, 63, 50)
(427, 461, 64, 51)
(428, 460, 63, 52)
(430, 461, 61, 50)
(431, 459, 61, 51)
(434, 459, 59, 52)
(435, 458, 57, 52)
(436, 456, 58, 54)
(438, 458, 58, 55)
(441, 457, 55, 53)
(443, 456, 55, 52)
(444, 457, 57, 53)
(447, 457, 54, 52)
(450, 455, 51, 54)
(451, 455, 52, 52)
(455, 454, 47, 53)
(457, 454, 48, 54)
(459, 455, 45, 51)
(461, 453, 45, 53)
(462, 453, 46, 53)
(465, 454, 43, 53)
(464, 452, 48, 55)
(469, 451, 42, 54)
(470, 452, 42, 53)
(473, 452, 39, 50)
(473, 450, 41, 52)
(474, 451, 41, 50)
(477, 451, 39, 51)
(479, 451, 37, 50)
(481, 451, 36, 50)
(481, 449, 38, 51)
(483, 450, 39, 50)
(486, 449, 34, 54)
(484, 450, 38, 51)
