(644, 475, 38, 19)
(648, 474, 39, 20)
(652, 475, 38, 18)
(656, 473, 39, 20)
(660, 473, 38, 19)
(664, 474, 37, 18)
(668, 472, 38, 20)
(672, 472, 37, 19)
(676, 472, 37, 19)
(679, 472, 38, 19)
(683, 471, 38, 19)
(687, 470, 37, 19)
(690, 469, 38, 20)
(694, 469, 37, 19)
(697, 468, 38, 20)
(700, 468, 39, 20)
(704, 469, 39, 18)
(708, 468, 39, 19)
(711, 467, 38, 19)
(715, 467, 38, 19)
(719, 466, 38, 19)
(722, 466, 38, 19)
(725, 466, 39, 19)
(729, 465, 38, 19)
(732, 464, 39, 20)
(735, 465, 40, 19)
(739, 464, 39, 20)
(743, 464, 39, 20)
(746, 465, 39, 18)
(749, 465, 39, 19)
(752, 464, 39, 20)
(756, 464, 39, 19)
(759, 464, 40, 19)
(763, 463, 39, 20)
(766, 463, 39, 20)
(770, 463, 38, 20)
(773, 462, 39, 21)
(775, 462, 41, 20)
(779, 463, 40, 19)
(783, 462, 40, 21)
(786, 461, 40, 21)
(789, 462, 40, 19)
(793, 462, 39, 19)
(796, 461, 40, 20)
(799, 461, 41, 20)
(803, 460, 40, 21)
(805, 461, 42, 20)
(809, 460, 41, 21)
(813, 462, 40, 19)
(817, 460, 39, 20)
(820, 462, 39, 19)
(823, 461, 41, 20)
(826, 460, 41, 21)
(830, 460, 40, 20)
(833, 462, 41, 18)
(837, 460, 40, 20)
(839, 461, 42, 19)
(843, 461, 42, 19)
(846, 461, 42, 19)
(849, 461, 42, 19)
(853, 460, 41, 19)
(856, 460, 42, 21)
(859, 460, 42, 20)
(864, 460, 40, 20)
(866, 460, 43, 21)
(870, 459, 41, 22)
(872, 459, 44, 21)
(876, 460, 42, 21)
(879, 460, 43, 20)
(883, 459, 42, 21)
(886, 459, 43, 21)
(890, 459, 42, 21)
(894, 459, 42, 20)
(898, 459, 41, 21)
(900, 459, 43, 20)
(904, 458, 41, 21)
(907, 457, 43, 22)
(912, 457, 42, 22)
(915, 457, 43, 21)
(919, 457, 42, 21)
(922, 458, 42, 19)
(926, 456, 41, 21)
